OID;VIN;SPZ;VIN_17_ZNAKU
17058;VF77D9HTCBJ737113;4P90719;ANO
17059;ZCFC5090005481650;2U37050;ANO
17063;ZFA26300006185081;4AH9249;ANO
17066;ZFA25000002G86959;7AD2305;ANO
17072;ZCFC235D805182367;4SF2880;ANO
17082;VF1MA000862766911;9AL6874;ANO
17086;WV1ZZZ2KZEX018763;3AN3341;ANO
17092;VF1MA000262276335;9AL9489;ANO
17096;VF1MA000462767179;9AL8226;ANO
17097;VF1MA000162766829;9AM1397;ANO
17098;VF1MA000562767093;9AM1398;ANO
17101;ZCFC170C70D550441;;ANO
17102;WV1ZZZ7HZJH050275;1BU9087;ANO
17104;VF1MA000762766883;9AM1374;ANO
17105;VF1MA000962766870;9AL6875;ANO
17107;VF1MA000462767103;9AL6873;ANO
17109;VF1MA000962767114;9AM1360;ANO
17110;VF1MA000462306399;9AM1399;ANO
17111;VF1MA000262767195;9AM1375;ANO
17117;WF0SXXTTFSBS00346;9U40818;ANO
17121;WAUZZZ4L57D001103;4M48238;ANO
17125;W1K1183841N208126;7MU9445;ANO
17129;WV1ZZZ7HZCH006935;9U05008;ANO
17131;WF0YXXTTGYMG38850;8AY3074;ANO
17133;VF1VB000062549080;;ANO
17137;VF1MA000362766928;;ANO
17138;VF1MA000462767151;;ANO
17140;VF1JLABA56Y117352;5L36582;ANO
17141;VF1MA000061613073;5SZ6732;ANO
17142;WDC2539251F343167;3SC9661;ANO
17143;VF1MA000369973374;9AR6015;ANO
17144;VF1MA000170172075;9AR6014;ANO
17145;WV1ZZZ7HZJH051110;1BU8952;ANO
17146;VF1MA000862306390;5SZ6733;ANO
17149;W1V44770313684667;1TU2595;ANO
17150;WF0DXXTTGDJU33135;;ANO
17151;ZCFC135B605290178;;ANO
17152;WV1ZZZ2KZFX063500;9B97966;ANO
17153;VF1MAF4ZR53312421;6H33182;ANO
17154;WDB9066551S276353;3H81427;ANO
17156;WF0XXXTTFXCA23282;4Z86925;ANO
17157;ZCFC435F505173055;;ANO
17158;VF1MA000862767153;5SZ6734;ANO
17161;VF1MB000869987848;9AT7801;ANO
17162;VF1MB000069987925;9AT7813;ANO
17163;VF1VB000669987934;9AT6382;ANO
17164;VF1VB000769987814;9AT6384;ANO
17165;WDF44770313394371;9AP1261;ANO
17167;WDB9066551P271260;5AM5559;ANO
17169;0831831;;NE
17170;VF1VB000769973718;6SN2699;ANO
17171;VF1VB000669984015;1ACJ385;ANO
17172;VF1VB000569984023;1ABA351;ANO
17173;VF1VB000369984019;;ANO
17174;VF1VB000869859663;;ANO
17175;VF1VB000569859667;;ANO
17176;VF1VB000369859666;;ANO
17179;VF1MA000762276346;9AR5747;ANO
17180;WF0XXXTTGXJA68534;4SZ1852;ANO
17182;WF01XXTTG1JU26486;5SH9958;ANO
17183;WF0FXXTTFFDC52904;2SK7665;ANO
17185;ZFA25000002K82741;4SM9450;ANO
17187;VF1MA000661612980;;ANO
17188;WV1ZZZ7HZGH147630;5AP6488;ANO
17189;ZCFC235D605216743;1TV0056;ANO
17190;VF3YAANRA12K87587;1TJ0888;ANO
17192;VF1MA000962306396;9AS3056;ANO
17193;ZCFC150B105158190;5SN1750;ANO
17195;TMBAG9NE0J0373310;7AC7316;ANO
17196;WF0FXXTTFFBU63468;4M97279;ANO
17197;VF6MFF4SE53380732;9T63645;ANO
17198;WF0ZXXTTGZDJ53172;5J82156;ANO
17199;VF1MAF6CJ43680520;4E15784;ANO
17200;ZFA25000002G95222;6Z31994;ANO
17201;ZCFA1VM1402562748;1AM5812;ANO
17202;ZCFC535D005360800;2BJ0769;ANO
17203;ZCFC5070005346648;CVA5668;ANO
17204;ZCFC50A2005717625;3U77408;ANO
17223;ZCFC635A005083892;1BJ8443;ANO
17226;WV1ZZZSYZH9008292;9C76228;ANO
17230;WVGZZZ7PZJD001660;6AN3034;ANO
17233;VF652AFA000061791;5M11538;ANO
17234;VF654ANA000002323;4M50597;ANO
17235;VF652AFA000032011;4M50598;ANO
17236;W1N1671231A182306;8AC6960;ANO
17237;WDD2054481F452106;5AX9822;ANO
17242;WV1ZZZ2EZD6017427;6H69657;ANO
17246;VF1FL000061090978;7AD5916;ANO
17247;VF1MA000462766789;;ANO
17249;W1K1770841N163849;4K69255;ANO
17250;WDC1569121J346313;9AM8423;ANO
17252;WF0ZXXTTFZAY77369;4M14042;ANO
17254;WDB9061311N413646;1AB2854;ANO
17255;WDB9061311N414586;1AC8825;ANO
17258;WDB9061311N379161;2SH8438;ANO
17259;WDB9061311N381600;1AL1410;ANO
17260;WDB9061311N412248;1AB6555;ANO
17261;ZCFC135B905196442;1UH8109;ANO
17262;VF1MA000870176737;9AN8713;ANO
17263;ZCFC260C505096823;7H85534;ANO
17266;VF3YCTMAU12587152;4SY9114;ANO
17267;VF7YD3MFC12L34625;8C55910;ANO
17269;ZFA25000002G28983;6Z27324;ANO
17270;VF6VG000663229185;6Z57678;ANO
17272;VF1MA000167953801;9AV5103;ANO
17273;VF1VB000363456919;;ANO
17276;WF0YXXTTGYLL32242;;ANO
17277;WF0YXXTTGYLL32234;;ANO
17280;WV1ZZZ2EZB6025701;7B68387;ANO
17281;WDB9061311N408918;1AA3407;ANO
17282;WDB9061311N411287;1AA6918;ANO
17283;WDB9061311N412057;1AC8422;ANO
17285;WDB9066531P338408;;ANO
17286;VF1UDCUK635832298;3AR5680;ANO
17288;WV1ZZZSYZK9035004;7AJ7790;ANO
17290;ZCFC150A205076167;5SJ0236;ANO
17291;ZCFC150A405061220;5AZ9529;ANO
17292;ZCFC150A805061219;5SL7757;ANO
17293;ZCFC70C0005882623;1ST7414;ANO
17294;VF1NDDCL524024632;3J07445;ANO
17295;VF1MA000657381512;;ANO
17296;VF1MB000162127816;;ANO
17298;WF0FXXTTFFBK45150;8B81398;ANO
17299;WV2ZZZ70Z1X061872;AKV5477;ANO
17300;WDF4156031U229881;6AR8956;ANO
17301;ZCFC70F000D533640;5M62171;ANO
17302;WF0YXXTTGYLY64158;;ANO
17303;WF0YXXTTGYLL29473;;ANO
17304;WF0YXXTTGYLD09061;;ANO
17305;WF0YXXTTGYLD01808;;ANO
17306;ZCFC135C305092229;;ANO
17307;VF1MB14S253563274;6AJ5799;ANO
17309;W1V44760113714451;8P38208;ANO
17310;WDF4156031U229882;6AR4279;ANO
17311;WBA58FF0208C81034;9AP2931;ANO
17312;W1K1770871N156251;2BS6519;ANO
17315;WF0FXXTTFFDR77450;4SE4765;ANO
17316;ZCFC165A905109051;5AP6865;ANO
17317;WDB9061551N557018;5P78179;ANO
17318;WDB9066371P189543;4AZ3877;ANO
17319;ZFA25000002533795;4AB4993;ANO
17320;ZCFC150B505174294;6AL0687;ANO
17321;ZCFCC35A105187493;6AM3686;ANO
17322;ZCFCC35A305187494;6AM3685;ANO
17323;ZCFC150A005091931;6AX8227;ANO
17324;ZCFC150A505091939;6AD6233;ANO
17325;ZCFC150A105091940;6AE3757;ANO
17326;ZCFC150A605061221;5AB8950;ANO
17327;WF0RXXWPGREP41596;4AI1688;ANO
17328;WF0SXXWPGSGE20607;5AU1338;ANO
17329;ZCFC150A505048847;1UJ7506;ANO
17330;W1V9106211P260959;6M98303;ANO
17331;VF3YCCNFC12S72127;8AS7476;ANO
17332;W0VMR3607LB216166;1UE5199;ANO
17340;VF1MB000763089213;;ANO
17341;VF1MB000X62127779;;ANO
17347;ZCFC65A6105973246;3AT5558;ANO
17348;ZCFC65A6105972990;3AT5564;ANO
17349;ZCFA71EF502657232;5AV3896;ANO
17350;ZCFC265A005025536;4AT0329;ANO
17351;VF1MA000060303978;;ANO
17352;VF1MA000460930991;9AU3425;ANO
17353;VF1MB000362127820;;ANO
17355;ZCFC35A6005706274;9AX8616;ANO
17356;ZCFC3571605951805;6AN3901;ANO
17357;ZCFC3571605911330;2AX9466;ANO
17358;ZCFC65A2005742296;3M47469;ANO
17359;ZCFC365A805131827;6M18253;ANO
17360;ZFA25000002P72679;1TY2724;ANO
17361;ZCFC250F505193749;4SH7823;ANO
17362;WV1ZZZ7HZKH123469;2BF5384;ANO
17363;ZFAFFL002J5065549;;ANO
17364;WF0DXXTTGDEG42860;4AP7454;ANO
17367;VF6VG000962524657;6E06481;ANO
17368;VF6VG000762524611;6E06456;ANO
17370;VF1VB000363456886;;ANO
17371;WF0YXXTTGYLL43188;;ANO
17372;ZFAFFL000J5065548;;ANO
17373;ZFA25000002590280;3SC5219;ANO
17374;VF1MA000X61184797;;ANO
17375;ZFA25000002E79067;;ANO
17377;VF3YDTMFC12A56226;;ANO
17378;VF3YDUMDC12A32488;;ANO
17379;VF3YD3MAU12K06193;;ANO
17380;VF1MB000463089055;;ANO
17381;VF1VB000362901312;;ANO
17382;WDB9067331S906218;8U06358;ANO
17383;ZCFC535D205363858;8H34794;ANO
17384;ZCFC150A205091932;7AS9974;ANO
17385;WV1ZZZ2DZ5H023951;5L06067;ANO
17386;VF1VBU4S152440136;4AR7846;ANO
17387;VF1VBU4D148887076;3AM9022;ANO
17388;WDB9061331N736335;6AT1776;ANO
17389;VF6MF000258950118;;ANO
17390;VF1MA000467953808;;ANO
17392;VF1MBM4S154807544;6H55270;ANO
17393;VF1MB000962529681;7H88192;ANO
17394;ZCFC50A0035437732;4Z40976;ANO
17395;ZFA25000002825687;;ANO
17396;TMBHS21Z672108031;9AR3948;ANO
17398;VF1MB000962331585;1TN9948;ANO
17399;WV2ZZZ7HZEH053013;1BN1055;ANO
17400;ZCFC260C405058936;5J66883;ANO
17402;ZCFC35D3005889594;2BK8372;ANO
17403;ZCFC60A5005818648;1BJ9985;ANO
17404;WV2ZZZ7HZEH024047;5SM2736;ANO
17405;ZFA25000001552819;3SB2380;ANO
17406;ZFA25000002903538;5L03244;ANO
17407;ZFCC635A505009478;2BH0961;ANO
17408;ZCFC535CXN5484832;;ANO
17409;ZCFC535C2N5484453;;ANO
17410;VF3YCBMFC12036411;6U62215;ANO
17411;ZFA25000002C56760;8U92157;ANO
17412;WDF63960313556922;7B03598;ANO
17413;VF77A9HN0GN514471;5J73598;ANO
17414;ZCFC65A6105941969;4E67020;ANO
17415;JMZGH148281129208;1ACS680;ANO
17416;W1V9076351P473080;9AU9293;ANO
17417;W1V9076351P472630;9AU9283;ANO
17418;W0LVSU4S1GB111521;5AU0909;ANO
17419;WF0XXXBDFX7T31753;6AF9137;ANO
17420;ZFA25000002962847;;ANO
17421;WF0XXXTTGXKC22081;4K88300;ANO
17422;VF6MF46UK55657467;6AP2427;ANO
17423;VF1MAFARA53430855;6H33460;ANO
17424;VF3YDPMAU12990003;5AM6647;ANO
17425;ZCFC135D3H5175678;9U63765;ANO
17426;ZCFC135D3H5150599;9U69803;ANO
17427;VF1VB000661409816;4SJ0872;ANO
17428;VF1MA000262766810;9AU5166;ANO
17429;VF1VB000263788835;;ANO
17430;VF1MA000962766836;9AU9271;ANO
17431;VF1MA000262766872;9AU3299;ANO
17432;VF1MA000462766906;;ANO
17434;VF1VB000063456845;;ANO
17435;VF1VB000663456879;;ANO
17436;VF1VB000463456895;;ANO
17437;VF1MA000362766895;9AU3428;ANO
17438;WF0SXXWPGSKD62341;9AU3427;ANO
17439;VF1MA000X62767087;9AU9275;ANO
17442;TMBHS21Z372107340;2E65519;ANO
17443;WDB9061331N672011;5AR4759;ANO
17444;WDB9061351N629629;4AZ9685;ANO
17445;WDB9061331N737145;6AR1065;ANO
17446;ZCFC150A805091935;5AN2625;ANO
17447;ZCFC150A105091937;6AY4078;ANO
17449;ZCFC65A0105748639;2SA1202;ANO
17450;W1V9071351N142377;5SH8640;ANO
17451;VF1MB000362377820;1TN9946;ANO
17453;WDD2130051A739030;7AY4177;ANO
17455;W1K2130051A972354;8AT5896;ANO
17456;W1K2130051B062005;9AD2834;ANO
17457;W1K1770031N194928;8AJ2363;ANO
17458;W1K2130051B043019;9AC4398;ANO
17459;W1N2476131W133426;8AV2924;ANO
17460;W1K2130051B014638;9AB0680;ANO
17469;VF1VB000760270558;1UE9519;ANO
17470;ZCFC65D0005783523;9S45778;ANO
17471;ZFA25000002570894;5H86451;ANO
17472;ZFA25000002656581;5H94964;ANO
17473;ZFA25000002659964;6H01006;ANO
17474;WDF44770313308267;6AF5767;ANO
17475;ZCFC150D505286093;6E33652;ANO
17476;ZFA25000002J36552;2BB6983;ANO
17478;WF0SXXWPGSKD62385;9AU3417;ANO
17479;ZCFC335D905160469;6AE6071;ANO
17480;VF3YC2MAU12F88669;4SJ6090;ANO
17482;TMBHS21Z572107274;2E65517;ANO
17483;ZCFC170D605293100;;ANO
17486;WF0YXXTTGYFU77020;9C39901;ANO
17487;ZCFC635A605083430;8AZ3783;ANO
17488;WDD2130051A599192;;ANO
17489;VF6VG000666517464;6Z90272;ANO
17490;VF6VG000369594355;7Z25418;ANO
17491;VF6VG000367290938;7Z02844;ANO
17493;ZCFC3572005345480;8U81596;ANO
17494;WF0FXXTTGFEA19901;8C99534;ANO
17495;ZFA26300006G71497;5SF7316;ANO
17496;ZFA25000002L18511;6Z64862;ANO
17497;ZFA25000002J15533;6Z32250;ANO
17498;WF0SXXWPGSHP19277;6AF6762;ANO
17501;WF0SXXWPGSKD62442;;ANO
17502;VF1MA000562766932;9AU5154;ANO
17503;VF1MA000962766951;9AU5237;ANO
17504;VF1MA000762766768;9AV3715;ANO
17506;VF3YDCNFC12M85469;6J64647;ANO
17507;ZFA25000002307628;3AD2049;ANO
17508;W1N2539151F977809;8AT3545;ANO
17509;ZFAFFL001J5072735;;ANO
17510;VWASXTF24H7201886;4K82517;ANO
17513;TYBFEB01ELDB02004;4SR7241;ANO
17514;WF0SXXWPGSKD62416;9AU3438;ANO
17515;VF1MA000261613060;9AV3703;ANO
17516;VF1MA000562767109;9AX4499;ANO
17517;WF0SXXWPGSKD62268;9AU9273;ANO
17518;WAUZZZF23LN071255;9AT3672;ANO
17519;ZCFCA35B10D694379;;ANO
17520;WF0SXXWPGSKD62414;9AV3708;ANO
17521;VF1MA000762766804;9AV3676;ANO
17522;WV1ZZZSYZK9032950;7AT2293;ANO
17523;ZFA25000001513006;;ANO
17524;ZCFC335C405059234;5L06166;ANO
17525;VF6VG000469904268;;ANO
17526;WF0SXXWPGSKD62506;9AU3436;ANO
17527;WF0SXXWPGSKD62418;9AU3448;ANO
17528;WF0SXXWPGSKD62456;9AU4784;ANO
17530;ZCFC650D305349211;6E51244;ANO
17531;WV1ZZZ7HZKH004007;;ANO
17533;W1V9106331P357659;EL674AP;ANO
17534;VF3YD3MFC12D53327;9AZ3908;ANO
17535;VF3YD3MFC12D63722;1TC9426;ANO
17536;KMFAB17RPJK012958;1TJ8371;ANO
17537;KMFAB17RPJK012956;1TJ8369;ANO
17538;ZCFC650D805348667;6E51243;ANO
17539;VF1VB000763457023;9AJ6120;ANO
17540;ZFA25000002843267;7C15076;ANO
17541;ZFA25000001669682;3AH7059;ANO
17542;VF7YAAMFA11251143;3E04261;ANO
17543;VF7YAAMFA11425804;3E28574;ANO
17547;WV1ZZZ2KZ7X103696;8A27911;ANO
17548;VF654ANA000030674;8T59482;ANO
17549;WDB9061351N516065;5AE3131;ANO
17550;ZFA25000002A39510;5AL9384;ANO
17552;ZFA25000002B14307;5AP4215;ANO
17554;ZFA25000002E96730;6AL9658;ANO
17555;ZFA25000002G40107;7AB3719;ANO
17557;ZFA25000002E97202;6AL9657;ANO
17558;ZCFC150B805174290;7AB0144;ANO
17560;ZFA25000002947710;5AA1637;ANO
17562;ZCFA71EF202668088;4SE4573;ANO
17566;VF3YD2MAU12B96013;5AU2355;ANO
17568;VF7ZBRMNB17520718;7AK0823;ANO
17569;WV1ZZZ2KZJX067250;6AX7805;ANO
17570;WV1ZZZ2KZJX069268;6AY6759;ANO
17571;WV1ZZZ2KZJX069247;6AY2039;ANO
17572;WDB9066551P284713;5AM4059;ANO
17573;VF1MA000558675428;9AV3665;ANO
17574;WF0SXXWPGSKD62487;;ANO
17575;VF1MA000X62766943;9AX9161;ANO
17577;WF0SXXWPGSKD62313;;ANO
17578;VF1MA000662767099;9AX9172;ANO
17579;WF0SXXWPGSKD62291;9AU9276;ANO
17580;ZCFC135B705169885;6AL7509;ANO
17581;VF3YD3MAU12H93513;7AF7773;ANO
17582;WF0DXXTTGDHB58152;;ANO
17583;WDB9061551N567533;3AT1629;ANO
17584;ZCFC50A2005745454;9AL7716;ANO
17586;WV1ZZZSYZK9048578;7AL9687;ANO
17588;WDB9061531N714928;5L43677;ANO
17589;WF0EXXTTGEJY04865;5L49883;ANO
17590;WF0EXXTTGEGR00183;5L20497;ANO
17592;WF0NXXTTFNBM06811;3L99984;ANO
17593;WF0TXXERPTBD93485;3L99807;ANO
17594;UU1F6720462302465;5L89270;ANO
17595;WV1ZZZ2KZJX071688;6AY6761;ANO
17596;WV1ZZZ2KZJX071653;6AY6760;ANO
17597;VF1MA000364996747;7H49185;ANO
17598;VF1MA000X64044358;7H49011;ANO
17599;ZCFC150A705091943;7AM1796;ANO
17601;ZCFC150A905091944;6AA8849;ANO
17602;ZCFC150A805061222;6AD6256;ANO
17603;ZCFC150A705098200;5SU2035;ANO
17604;ZCFC150A105065256;5AD3440;ANO
17605;WV1ZZZ2EZD6032020;4E85978;ANO
17606;WV1ZZZ2EZD6026417;3AI6910;ANO
17607;WV1ZZZ2EZE6006483;3AP9397;ANO
17608;WV1ZZZ2EZE6022086;3AX0781;ANO
17609;WV1ZZZ2EZF6014213;4AI7272;ANO
17610;WV1ZZZ2EZG6043314;5AP8204;ANO
17611;WBAFH610100B37808;4AJ5094;ANO
17612;TMBKS21U938683791;3L46741;ANO
17613;WDF44770513614159;8AX2060;ANO
17614;VF1VB000470128542;;ANO
17615;VF1VB000970128522;;ANO
17616;VF1VB000570128243;;ANO
17617;VF1VB000669290957;;ANO
17618;W0LVRE4Z6GB112239;5AY4336;ANO
17621;ZFA25000002L64875;8C52251;ANO
17622;VF6VF000163554653;7H35060;ANO
17623;VF6VG000163655298;6Z64902;ANO
17624;VF6VG000163655608;6Z64956;ANO
17625;ZFA26300006101292;6AN2480;ANO
17626;ZCFC35A710D501633;6E90608;ANO
17628;ZFA24400007795777;8U38113;ANO
17629;VF3YDPMAU12A98683;9T06132;ANO
17630;WUAZZZF27RN900147;1AEA880;ANO
17634;VF3YCUMGC12B11315;1BS1315;ANO
17635;VF3YCUMHU12A16881;1BS2224;ANO
17636;ZCFC5980105216055;CBA7703;ANO
17638;VF1VB000168755506;7M10315;ANO
17639;VF3YB2MFB12E28252;8AJ1081;ANO
17640;VF1MA000262767181;9AX9163;ANO
17642;ZCFA71EF002668171;4SE4572;ANO
17643;WDD2573231A022711;7AS2803;ANO
17644;VF6SGFF2492100900;;ANO
17645;ZCFC70D0005871370;;ANO
17646;WV1ZZZ2FZG7011741;;ANO
17647;VF3YDUMFC12888068;;ANO
17648;VF1VBU4Z252303786;9U27308;ANO
17649;WF0SXXWPGSKD62468;9AV7321;ANO
17650;WF0EXXTTGEKL50967;;ANO
17651;W1V9076351P387334;2BU6740;ANO
17652;WDB9066331S924237;7P44040;ANO
17653;VF3YCTMFB12425673;2BS2722;ANO
17654;W0VMR8601MB269184;2BV6136;ANO
17655;VF3YC3MFC12J54739;6M67996;ANO
17656;WF0FXXTTFF8A35699;4SV3892;ANO
17657;VF1FDC1M642291648;4Z02653;ANO
17658;VF1MA000661353827;9AV5104;ANO
17659;ZCFC735BX05415178;;ANO
17660;ZCFC250C105139726;1TC6228;ANO
17662;WV1ZZZ7HZBH092619;6AJ1507;ANO
17663;VF1MA000971007935;9AV7446;ANO
17664;ZCFC50D1005819231;9AH3066;ANO
17666;ZCFC65A600D513513;2SL2154;ANO
17667;ZCFC165C105018471;3SN1856;ANO
